ID,Task,Feature slice,Owner,Deadline,Meeting checkpoint,Priority,Depends on,Done when,Notes,Status
1,"Confirm stack + feature ownership (Jenn=Platform/Launch, Dev2=Applicant, Dev3=Organizer)",Planning,All three,2026-09-24,Meeting 1,P0,,Ownership agreed; rename Dev2/Dev3 to real names,,Todo
2,Import CSV → Sheets + GitHub Project; replace Dev 2/Dev 3 with names,Planning,Jenn,2026-09-24,Meeting 1,P0,,Board live,,Todo
3,Create Neon project; DATABASE_URL in shared secrets vault,Platform,Jenn,2026-09-24,Meeting 1,P0,,All three can read secrets,,Todo
4,Create Clerk app (dev+prod); invite other two; define roles,Platform,Jenn,2026-09-24,Meeting 1,P0,,All three are organizers,,Todo
5,Create Resend account; DNS verify hackher413.com; share API key to vault,Organizer,Dev 3,2026-09-24,Meeting 1,P0,,From-address chosen; Jenn+Dev2 have access,,Todo
6,Draft 2027 question list (required/optional; resume yes/no),Applicant,Dev 2,2026-09-24,Meeting 1,P0,,Ready for director approval,,Todo
7,"Draft organizer review needs (columns, actions, CSV fields)",Organizer,Dev 3,2026-09-24,Meeting 1,P0,,Short doc for queue UX,,Todo
8,Confirm open target Mon Nov 16 + announce channels,Launch,Jenn,2026-09-24,Meeting 1,P1,,Datetime + timezone set,,Todo
9,Drizzle setup + applications migration (core + customFields JSON),Platform,Jenn,2026-10-01,Meeting 2,P0,"3,4",Local + Neon migrations work,,Todo
10,Clerk in Next: middleware + requireUser/requireOrganizer helpers,Platform,Jenn,2026-10-01,Meeting 2,P0,4,Helpers ready for other slices,,Todo
11,Add Vercel env wiring docs + verify Preview has DB/Clerk/Resend,Platform,Jenn,2026-10-01,Meeting 2,P0,"3,4,5",PR previews usable,,Todo
12,Verify Resend domain; merge shared sendEmail() helper; test all three,Organizer,Dev 3,2026-10-01,Meeting 2,P0,5,Helper merged; tests received,,Todo
13,"Scaffold /apply/form + /apply/status (auth stubs, site UI)",Applicant,Dev 2,2026-10-01,Meeting 2,P0,10,Signed-in stubs render,,Todo
14,Commit application-form config from approved questions,Applicant,Dev 2,2026-10-01,Meeting 2,P0,6,Config is SSOT,,Todo
15,Scaffold /organizer/apps list + detail (organizer-gated stubs),Organizer,Dev 3,2026-10-01,Meeting 2,P0,10,Non-organizers get 403,,Todo
16,Map form fields → DB with Jenn (core vs customFields) in PR,Applicant,Dev 2,2026-10-01,Meeting 2,P0,"9,14",Schema supports form,,Todo
17,Apply form UI from config + Zod (desktop + mobile),Applicant,Dev 2,2026-10-08,Meeting 3,P0,"13,14",Validation + UX solid,,Todo
18,Server actions: draft + submit (one app per user),Applicant,Dev 2,2026-10-08,Meeting 3,P0,"9,10,16",Persists; no double submit,,Todo
19,Confirmation email on submit (template + sendEmail),Applicant,Dev 2,2026-10-08,Meeting 3,P0,"12,18",Confirm email delivered,,Todo
20,Status page: status + submitted-at,Applicant,Dev 2,2026-10-08,Meeting 3,P0,18,All statuses display,,Todo
21,Marketing /apply CTA → auth → form (remove old dashboard link),Applicant,Dev 2,2026-10-08,Meeting 3,P1,13,In-repo path only,,Todo
22,Organizer list reads live applications from DB,Organizer,Dev 3,2026-10-08,Meeting 3,P0,"9,15,18",Shows test submissions,,Todo
23,Seed script: create ~10 fake applications for organizer UI testing,Organizer,Dev 3,2026-10-08,Meeting 3,P1,9,Dev3 can build UI without waiting on form,,Todo
24,PR review/unblock on auth+DB helpers; short README for platform APIs,Platform,Jenn,2026-10-08,Meeting 3,P0,"9,10",Other slices unblocked on preview,,Todo
25,Organizer search + detail view (all fields),Organizer,Dev 3,2026-10-15,Meeting 4,P0,22,Find/open any app,,Todo
26,Actions: Accept/Deny/Waitlist (+ flag) with actor + timestamp,Organizer,Dev 3,2026-10-15,Meeting 4,P0,25,Audited status updates,,Todo
27,Decision emails on status change (3 templates),Organizer,Dev 3,2026-10-15,Meeting 4,P0,"12,26",Sends on action; 100/day batch notes,,Todo
